uid,label,direction_std,duration,e2e_distance,hjorthActivityX,hjorthActivityY,hjorthCombinedX,hjorthCombinedY,hjorthComplexityX,hjorthComplexityY,hjorthMobilityX,hjorthMobilityY,mean_step_speed,stddev_step_speed,track_length
lab_0_0,0,0.147799254,300,40.40877175,132.4310668,15.75480848,2.474347867,0.665261507,0.557606315,0.515683781,0.010418341,0.021775229,0.173087829,0.100140952,51.92634857
lab_0_1,0,0.150337454,300,32.95732246,74.12765414,24.38891358,2.093142804,1.109022952,0.436866462,0.473807493,0.0123358,0.021545174,0.165047661,0.086193635,49.51429843
lab_0_2,0,0.16347773,300,31.64948614,62.45357642,21.34253818,2.332756182,1.051062118,0.423202121,0.463486511,0.015807379,0.022825454,0.167388126,0.099176973,50.21643771
lab_0_3,0,0.196435231,300,42.52494809,174.641009,23.44648347,3.95079748,1.425787693,0.404556081,0.52567558,0.009152027,0.03196649,0.215926922,0.109796984,64.77807653
lab_0_4,0,0.137619161,300,1.616935682,1.512876355,2.312806251,0.249546908,0.385978956,0.375831482,0.451391628,0.061992895,0.075331718,0.097785959,0.096984481,29.33578768
lab_0_5,1,1.663850474,117,339.8043588,1503.975797,9003.790471,431.0899325,133.9402251,0.136549661,0.482794901,0.039139715,0.007182048,3.26391572,0.741804259,381.8781392
lab_0_6,1,1.895770364,157,147.7104084,1493.114311,1345.37925,371.4322232,68.83719089,0.182727033,0.380088431,0.045455802,0.019447468,1.95049182,0.821394668,306.2272158
lab_1_0,1,4.218332638,300,961.6761409,10152.53149,51641.85206,370.3188619,936.3134265,0.738478677,0.783753401,0.026936394,0.014210157,4.62128073,2.591116274,1386.384219
lab_1_1,0,0.030727187,300,36.49657518,110.072257,1.678443266,0.324164627,0.195239401,0.23895971,0.197922262,0.00070374,0.023022657,0.125283916,0.006935439,37.58517489
lab_1_2,0,0.055903488,20,2.236067977,0.45776644,0.114405388,0.060599539,0.015256901,0.558242196,0.554327481,0.073900611,0.073924134,0.111803971,0.055902343,2.236079426
lab_1_3,1,4.517578855,90,1085.792798,19228.0777,79015.42499,1105.434253,1588.638578,0.46104029,0.46478851,0.026505496,0.00934477,12.51385844,3.059535025,1126.24726
lab_1_4,0,1.332994749,40,247.5419156,4499.914039,868.3182629,45.07932986,25.66016912,1.322629494,1.140803978,0.013249864,0.03371255,6.274431987,0.84053747,250.9772795
lab_1_5,1,8.000282342,112,255.0176464,1667.314058,14966.48617,346.3781373,3029.511288,0.478602788,0.278376708,0.099427904,0.056348923,7.744554967,3.034939303,867.3901563
lab_1_6,1,6.331472443,85,1045.19137,77854.5898,13174.04198,1321.718032,1009.293561,0.780527309,0.58450462,0.013250818,0.044780239,13.4238823,3.32980772,1141.029995
lab_1_7,1,2.846694053,47,146.5776245,1062.617403,906.4585327,100.6522527,66.24175792,0.717030932,0.813300831,0.067917934,0.059434022,4.042375201,1.220241853,189.9916345
lab_1_8,1,2.484325864,8,42.29657197,5.555555556,184.6666667,1.863011633,21.4750134,1.255244908,1.441251812,0.420936456,0.167604162,5.361343395,2.31969761,42.89074716
lab_1_9,1,1.825741858,3,45.79301257,78.1875,205.5,3.929942041,12.74246328,1.837117307,1.837117307,0.092339115,0.113914354,15.26519934,1.818522056,45.79559802
lab_2_0,1,6.460434698,51,380.1473399,194.1396533,9813.423562,69.03942667,746.0554445,0.840279698,0.655922284,0.298818029,0.049865818,8.566769506,4.889564999,436.9052448
lab_2_1,1,5.216495823,127,688.743784,2508.269684,36513.06134,405.6162029,1055.831708,0.504941163,0.586103083,0.081654823,0.016948078,6.789065377,3.245195649,862.2113029
lab_2_2,1,3.779940592,47,641.081898,3686.321519,33325.2705,281.0686233,283.9850588,0.695908442,1.271006334,0.05306049,0.010831024,14.02756028,1.888439844,659.2953333
lab_2_3,1,6.337277145,91,585.7029964,6944.401111,30547.74159,899.0746787,1138.696914,0.455985223,0.613168785,0.059035295,0.022856466,8.696963941,2.439224173,791.4237186
lab_2_4,0,0.01557298,303,21.54065923,33.37439759,6.671362474,0.110447446,0.319203347,0.197730202,0.122242901,0.000654358,0.005848932,0.072772109,0.000841808,22.04994894
lab_2_5,1,9.278658249,37,439.7101318,3278.847645,13837.68144,851.0498998,694.6643811,0.541553288,0.78169622,0.140564284,0.039241872,14.69731889,3.363501409,543.800799
lab_2_6,1,9.095992911,104,542.273916,18025.815,11270.94077,1309.522863,1289.518631,0.583638048,0.58408071,0.042399601,0.066825208,9.911454997,3.418733588,1030.79132
lab_2_7,1,9.241089074,44,77,1065.547654,1797.648951,216.9845619,534.8859875,0.827797536,0.588495492,0.168569923,0.175105374,8.528467844,3.965534454,375.2525851
lab_2_8,1,0,1,16,0,64,0,0,10000,10000,10000,0,16,0,16
lab_2_9,1,6.637412122,101,1002.014471,101186.3307,5865.622165,1484.186949,602.4274199,0.965982806,0.619447576,0.014168901,0.063620226,11.23574928,4.029657087,1134.810677
lab_2_10,1,7.571278829,21,84.85281374,97.1663866,1407.302031,52.31578264,227.6233004,0.853080904,1.000116654,0.459311051,0.161763323,7.203504631,4.664795253,151.2735972
lab_2_11,1,3.087209775,9,170.3202865,982.2,1947.84,43.6003188,47.19932986,1.785882135,1.713494639,0.079276146,0.041520761,19.00232287,2.564837658,171.0209058
lab_2_12,1,3.34477204,4,40.31128874,108.24,97.44,12.79788264,15.08881399,2.102265998,1.387777333,0.248563872,0.214900596,10.52010842,1.441290709,42.08043367
