uid,label,direction_std,duration,e2e_distance,hjorth_activity,hjorth_complexity,mean_step_speed,stddev_step_speed,track_length
lab_0_0,0,0.147799254,300,40.40877175,95.74635116,0.062517545,0.173087829,0.100140952,51.92634857
lab_0_1,0,0.150337454,300,32.95732246,82.09962133,0.020345928,0.165047661,0.086193635,49.51429843
lab_0_2,0,0.16347773,300,31.64948614,138.7223933,0.029007312,0.167388126,0.099176973,50.21643771
lab_0_3,0,0.196435231,300,42.52494809,228.9899912,0.017726505,0.215926922,0.109796984,64.77807653
lab_0_4,0,0.137619161,300,1.616935682,6.99336456,0.042785272,0.097785959,0.096984481,29.33578768
lab_0_5,1,1.663850474,117,339.8043588,2794.369167,0.191981502,3.26391572,0.741804259,381.8781392
lab_0_6,1,1.895770364,157,147.7104084,3900.866626,1.078816253,1.95049182,0.821394668,306.2272158
lab_1_0,1,4.218332638,300,961.6761409,8201.506486,17.89082939,4.62128073,2.591116274,1386.384219
lab_1_1,0,0.030727187,300,36.49657518,43.79256127,0.001004996,0.125283916,0.006935439,37.58517489
lab_1_2,0,0.055903488,20,2.236067977,0,0,0.111803971,0.055902343,2.236079426
lab_1_3,1,4.517578855,90,1085.792798,0,0,12.51385844,3.059535025,1126.24726
lab_1_4,0,1.332994749,40,247.5419156,0,0,6.274431987,0.84053747,250.9772795
lab_1_5,1,8.000282342,112,255.0176464,11834.00866,3.709401853,7.744554967,3.034939303,867.3901563
lab_1_6,1,6.331472443,85,1045.19137,0,0,13.4238823,3.32980772,1141.029995
lab_1_7,1,2.846694053,47,146.5776245,0,0,4.042375201,1.220241853,189.9916345
lab_1_8,1,2.484325864,8,42.29657197,0,0,5.361343395,2.31969761,42.89074716
lab_1_9,1,1.825741858,3,45.79301257,0,0,15.26519934,1.818522056,45.79559802
lab_2_0,1,6.460434698,51,380.1473399,0,0,8.566769506,4.889564999,436.9052448
lab_2_1,1,5.216495823,127,688.743784,29973.54152,21.06570613,6.789065377,3.245195649,862.2113029
lab_2_2,1,3.779940592,47,641.081898,0,0,14.02756028,1.888439844,659.2953333
lab_2_3,1,6.337277145,91,585.7029964,0,0,8.696963941,2.439224173,791.4237186
lab_2_4,0,0.01557298,303,21.54065923,7.168964673,0.000111521,0.072772109,0.000841808,22.04994894
lab_2_5,1,9.278658249,37,439.7101318,0,0,14.69731889,3.363501409,543.800799
lab_2_6,1,9.095992911,104,542.273916,3870.514681,2.614570852,9.911454997,3.418733588,1030.79132
lab_2_7,1,9.241089074,44,77,0,0,8.528467844,3.965534454,375.2525851
lab_2_8,1,0,1,16,0,0,16,0,16
lab_2_9,1,6.637412122,101,1002.014471,3457.483736,0.784917313,11.23574928,4.029657087,1134.810677
lab_2_10,1,7.571278829,21,84.85281374,0,0,7.203504631,4.664795253,151.2735972
lab_2_11,1,3.087209775,9,170.3202865,0,0,19.00232287,2.564837658,171.0209058
lab_2_12,1,3.34477204,4,40.31128874,0,0,10.52010842,1.441290709,42.08043367
lab_2_13,1,7.268358344,146,505.7291765,7238.173341,3.47723706,7.549634571,2.79832869,1102.246647
lab_2_14,1,5.082978143,10,103.2375901,0,0,10.46630272,4.782590747,104.6630272
lab_2_15,1,11.20091762,120,586.4366974,15018.50374,5.918546973,11.71621968,3.474658556,1405.946361
lab_2_16,1,8.234338169,110,747.5433098,22057.48854,2.054862182,10.3674002,2.550468974,1140.414022
lab_2_17,1,4.251183642,21,213.7404969,0,0,10.69085066,2.715212473,224.5078639
lab_2_18,1,2.856800774,46,549.8881704,0,0,12.15789998,1.801960663,559.2633992
lab_2_19,1,3.585482819,39,402.7964747,0,0,10.75318595,1.973482441,419.3742521
lab_2_20,1,8.177397048,26,305.851271,0,0,13.92191464,3.380871589,361.9697807
lab_3_0,1,5.142692212,73,232.768125,0,0,4.975789699,3.443254044,363.232648
lab_3_1,0,0.786482671,299,19.41648784,146.631671,10.2713769,0.1680124,0.771066651,50.23570752
lab_3_2,0,0.046509132,299,8.062257748,3.824714116,0.002679875,0.04838913,0.023423334,14.46835002
lab_3_3,0,0.071769698,299,5,8.187162378,0.012001617,0.057693298,0.045847702,17.2502961
lab_3_4,0,0.084299936,299,9.848857802,18.83940568,0.002770568,0.087768259,0.022095498,26.2427093
lab_3_5,0,0.142468827,299,6,21.30499821,0.043428661,0.115018799,0.086433343,34.39062088
lab_3_6,0,0.135323132,299,8.062257748,6.221735677,0.007948414,0.128228938,0.050958324,38.34045255
lab_3_7,0,0.063580163,299,8.062257748,26.8780133,0.002063768,0.061555213,0.031312204,18.40500864
lab_3_8,0,0.110746505,299,18.35755975,4.329998323,0.014332777,0.11567428,0.051514871,34.5866098
lab_3_9,0,0.078607198,299,19.31320792,13.84893247,0.010080075,0.078356513,0.064896543,23.42859735
lab_3_10,0,0.093627223,299,12.80624847,1.88929105,0.006717505,0.089563242,0.050783009,26.77940925
lab_3_11,0,0.045696463,299,26.41968963,4.170405883,0.000613608,0.099442831,0.00260939,29.73340657
lab_3_12,1,2.98142397,3,31.144823,0,0,10.66013268,1.740183313,31.98039803
lab_3_13,1,4.276724846,63,444.2881948,0,0,7.784264002,2.72562717,490.4086321
lab_3_14,1,5.617339074,34,242.5386567,0,0,8.438988415,3.35032103,286.9256061
lab_4_0,1,2.332425961,45,446.6538221,0,0,9.948813522,2.231515072,447.6966085
lab_4_1,0,0.30266829,300,607.6205942,20595.22919,0.905721144,2.036008536,0.220296431,610.8025608
lab_4_2,0,0.145518688,300,565.4197801,18512.52489,0.092843417,1.888506602,0.083279512,566.5519806
lab_4_3,0,0.16091734,300,576.4008321,19384.09686,0.39728727,1.924662934,0.114452693,577.3988801
lab_4_4,0,0.181398745,220,315.7169393,10236.82328,0.060058482,1.441736615,0.117247697,317.1820554
lab_4_5,0,0.161260309,300,522.8044284,16094.21646,0.226987863,1.74694257,0.105523001,524.082771
lab_4_6,0,0.191587425,263,458.0220395,15589.38592,0.325426226,1.745376567,0.152605637,459.0340371
lab_4_7,0,0.802109783,165,289.2809504,12583.89117,1.697966282,1.755048897,0.798095491,289.583068
lab_4_8,0,0.132425634,36,66.53355368,0,0,1.851739817,0.065348285,66.66263343
lab_4_9,0,0.19004214,300,691.053195,27432.62816,0.267297823,2.309073628,0.102256091,692.7220885
lab_4_10,0,0.117993747,15,41.23732062,0,0,2.751647273,0.014540197,41.2747091
lab_4_11,0,0.259766751,34,75.07650439,0,0,2.210357231,0.240101505,75.15214587
lab_4_12,1,8.122899771,170,398.4241682,11894.90172,0.401147953,4.38140879,7.603189795,525.7690547
lab_4_13,0,0.169624878,280,617.1710669,25544.1714,0.136504536,2.208946785,0.088015191,618.5050997
lab_4_14,0,0.197141495,106,177.1312347,669.3109059,0.042434741,1.679557432,0.101772509,178.0330878
lab_4_15,0,0.581169218,82,181.3731317,0,0,2.223714282,0.534050661,182.3445711
lab_4_16,0,0.234726448,107,286.5416758,1956.304323,0.083420115,2.683376646,0.161411997,287.1213011
lab_4_17,0,0.158487055,159,327.6298192,11160.95075,0.331751963,2.06417644,0.10110134,328.2040539
lab_4_18,0,4.576889974,129,291.3470727,3031.852231,0.740390854,2.709727418,4.569754728,292.6505611
lab_4_19,0,0.217651488,88,226.3792873,0,0,2.573194707,0.209178752,226.4411342
lab_4_20,0,0.287540724,32,56.59339626,0,0,1.772961356,0.25890979,56.7347634
lab_4_21,0,0.119811376,31,84.08465765,0,0,2.713152747,0.101566644,84.10773516
lab_4_22,0,0.430250759,26,39.9906239,0,0,1.541729207,0.417062593,40.08495938
lab_4_23,0,0.212787946,20,39.85156905,0,0,1.992611413,0.212479073,39.85222826
lab_5_0,0,40.0880219,299,562.9211929,20054.44784,33801.48689,5.154319339,39.79983636,1541.141482
lab_5_1,0,0.151484766,43,98.3073711,0,0,2.288727453,0.107082741,98.4152805
lab_5_2,0,0.166486307,299,547.8226898,17005.13961,0.605195148,1.834653999,0.136589192,548.5615457
lab_5_3,0,0.029444425,56,7.384793633,0,0,0.132535746,0.026292469,7.422001768
lab_5_4,0,0.189633828,30,69.83408058,0,0,2.332293871,0.122603566,69.96881612
lab_5_5,0,0.180081342,68,130.4704785,0,0,1.922132781,0.138496434,130.7050291
lab_5_6,1,0.773246665,54,132.9940509,0,0,2.535990183,0.481983493,136.9434699
lab_5_7,0,0.000687184,6,9.740796939,0,0,1.623466188,0.000609083,9.740797126
lab_5_8,0,0.110032141,299,39.11933673,163.2645277,0.036980628,0.141535357,0.095876611,42.31907178
lab_5_9,1,0.651401213,41,98.17047916,0,0,2.42630301,0.520132529,99.47842343
lab_5_10,0,0.227120876,112,238.9322216,2131.59154,0.146147658,2.135722094,0.203331724,239.2008745
lab_5_11,0,0.323225276,157,365.6557587,13480.07193,1.120737007,2.335711264,0.270647957,366.7066685
lab_5_12,0,0.313330543,137,322.5209212,8218.056637,0.43281212,2.358828174,0.276060481,323.1594599
lab_5_13,0,0.167743323,299,37.96532646,99.15261582,0.058610164,0.175695678,0.115720928,52.53300768
lab_5_14,0,0.000489898,10,25.30537722,0,0,2.530537746,0.000343543,25.30537746
lab_5_15,0,0.291749668,299,740.233688,30961.61691,0.476294274,2.482389034,0.227909864,742.2343213
lab_5_16,0,0.266411676,242,616.9241314,32668.56913,0.728059392,2.555784596,0.194253665,618.4998723
lab_5_17,0,0.082339298,97,223.544481,0,0,2.305621751,0.044582253,223.6453099
lab_5_18,0,0.316804237,249,575.1452374,28117.15562,0.439450144,2.323016395,0.198063757,578.4310823
lab_5_19,0,1.437395779,299,547.0696812,16197.87287,14.87295787,1.992515851,1.201523757,595.7622395
lab_5_20,0,0.275580354,299,540.4398671,16905.39249,0.258310324,1.82029902,0.17169865,544.2694071
lab_5_21,0,0.128343465,295,478.6789601,13296.43079,0.278991443,1.624907726,0.095442437,479.3477791
lab_5_22,0,0.268368389,281,679.8602295,30029.65508,0.435261479,2.426581502,0.19331893,681.8694022
lab_5_23,0,0.157071293,285,477.3101208,13717.16082,0.132393444,1.679714856,0.089954597,478.7187341
lab_5_24,1,1.316911041,36,202.7122431,0,0,5.738974968,0.710919635,206.6030989
lab_5_25,1,0.097008505,10,30.35641324,0,0,3.035755907,0.09335401,30.35755907
lab_5_26,0,0.194457955,90,229.7709613,0,0,2.558462457,0.099736111,230.2616211
lab_5_27,0,0.574048697,249,495.8628388,19808.2704,4.100076735,2.009692674,0.506368467,500.4134757
lab_5_28,0,0.164846543,184,356.2626411,15137.19015,0.27213698,1.94002237,0.111340804,356.9641161
lab_5_29,0,0.214343662,246,579.5151994,28529.97344,0.16722531,2.363076035,0.106706682,581.3167046
lab_5_30,0,0.198157563,158,335.2574912,11098.35943,0.056725276,2.126831827,0.135054262,336.0394286
lab_5_31,0,0.100088361,38,81.93858609,0,0,2.156461809,0.096059697,81.94554875
lab_5_32,0,0.078167281,233,420.3626314,16427.16934,0.059274201,1.805228613,0.04636942,420.6182668
lab_5_33,0,0.188332839,53,122.9972511,0,0,2.324296813,0.137023013,123.1877311
lab_5_34,0,0.169776856,213,379.3790742,16715.6552,0.296635834,1.786576341,0.096779186,380.5407607
lab_5_35,0,0.311077176,198,279.4444666,10357.62738,0.335771789,1.427797608,0.223677066,282.7039264
lab_5_36,0,0.095817211,191,443.2310667,23977.2583,0.115035235,2.322096427,0.046342473,443.5204175
lab_5_37,0,0.058743639,134,238.0920261,4295.684531,0.017854385,1.777471439,0.03295824,238.1811728
lab_5_38,0,0.050200256,188,354.5268493,15003.43349,0.182065484,1.886033214,0.039612973,354.5742443
lab_5_39,1,1.449757321,152,251.8279123,4593.043658,3.5956013,1.957828191,1.006760803,297.589885
lab_5_40,0,0.097714591,162,381.2990302,15096.205,0.167129649,2.355105676,0.054021691,381.5271195
lab_5_41,0,0.215340087,161,330.7505441,11534.51447,0.092382985,2.062433677,0.114444569,332.0518219
lab_5_42,1,2.301663496,124,171.9513012,2103.309654,8.226879864,2.419584534,1.168851416,300.0284822
lab_5_43,0,0.27075287,103,144.1833176,270.0902933,0.011450016,1.408624355,0.220524527,145.0883086
lab_5_44,0,0.130655594,38,55.00960702,0,0,1.44888891,0.115754305,55.05777857
lab_5_45,0,0.13337868,65,159.69737,0,0,2.458926221,0.087999438,159.8302044
lab_5_46,0,0.293360371,52,110.6601956,0,0,2.144717982,0.122362116,111.5253351
lab_5_47,0,0.000481046,22,47.90271784,0,0,2.177396288,0.00036216,47.90271834
lab_6_0,0,0.129488111,299,13.60404002,25.44453711,0.08143939,0.105782328,0.0874493,31.62891598
lab_6_1,0,0.164412934,299,7.412977877,26.91314635,0.127579619,0.125170889,0.109446483,37.42609595
lab_6_2,0,0.107765022,299,8.255245121,20.61694906,0.04018742,0.08623569,0.070277956,25.78447119
lab_6_3,0,0.247225869,299,5.830951895,5.627053936,0.137296727,0.088216004,0.232236505,21.08362496
lab_6_4,0,0.125298709,299,12.41921918,35.76820505,0.014285427,0.113282888,0.067764155,33.87158345
lab_6_5,0,0.015011477,62,2.121320344,0,0,0.034214844,0.015011477,2.121320344
lab_6_6,1,1.931678831,290,908.5718402,56844.03896,3.206373223,3.416947817,1.368056827,990.9148671
lab_6_7,0,0,44,0,0,0,0,0,0
lab_6_8,0,0.051445996,299,7.16894539,3.252685913,0.001722477,0.048991772,0.028659462,14.64853989
lab_6_9,0,0.076197351,299,21.40458479,44.31528842,0.012797778,0.086662405,0.058484159,25.91205908
lab_6_10,0,0.132199197,299,5.707603525,7.766605492,0.065967682,0.104266968,0.083483029,31.17582336
